feat_1	feat_2	feat_3	feat_4	feat_5	feat_6	feat_7	feat_8	feat_9	feat_10	feat_11	feat_12	feat_13	feat_14	feat_15	feat_16	feat_17	feat_18	feat_19	feat_20	feat_21	feat_22	feat_23	feat_24	feat_25	feat_26	feat_27	feat_28	feat_29	feat_30	feat_31	feat_32	feat_33	feat_34	feat_35	feat_36	feat_37	feat_38	feat_39	feat_40	feat_41	feat_42	feat_43	feat_44	feat_45	feat_46	feat_47	feat_48	feat_49	feat_50	feat_51	feat_52	feat_53	feat_54	feat_55	feat_56	feat_57	feat_58	feat_59	feat_60	feat_61	feat_62	feat_63	feat_64	feat_65	feat_66	feat_67	feat_68	feat_69	feat_70	feat_71	feat_72	feat_73	feat_74	feat_75	feat_76	feat_77	feat_78	feat_79	feat_80	feat_81	feat_82	feat_83	feat_84	feat_85	feat_86	feat_87	feat_88	feat_89	feat_90	feat_91	feat_92	feat_93	target	id
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	4	0	0	1	0	3	0	2	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	11	0	1	1	1	1	1	0	2	0	0	Class_7	"48228"
0	0	3	1	0	0	0	1	0	1	11	0	4	0	0	3	0	9	0	1	0	8	0	0	0	2	2	1	0	1	0	0	0	0	3	0	0	1	0	2	0	1	0	2	0	1	0	2	9	0	0	0	0	8	0	0	0	0	1	7	0	4	1	0	2	4	0	0	0	4	0	2	0	0	0	0	1	0	0	7	0	0	0	0	0	0	2	1	5	0	0	0	0	Class_6	"42687"
0	0	1	0	0	0	1	1	0	0	0	0	1	0	13	4	0	4	0	0	3	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	Class_2	"14893"
0	0	0	1	0	0	0	0	0	0	2	4	0	2	0	3	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	1	1	9	0	0	0	0	4	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	1	0	Class_7	"46595"
0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_5	"29966"
0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	2	0	0	0	0	2	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	2	0	0	0	0	0	Class_2	"9505"
0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	5	0	4	0	1	0	0	0	0	0	0	0	2	1	0	1	1	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	6	0	1	0	1	0	0	0	4	2	0	11	2	0	1	3	0	0	2	0	1	0	0	0	0	15	0	1	1	1	0	0	6	0	0	1	Class_8	"56411"
0	0	0	0	0	0	0	0	0	4	0	0	0	2	23	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	0	0	0	0	0	Class_4	"26123"
3	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	2	2	0	0	0	0	0	0	3	0	2	0	0	0	0	5	2	0	0	0	1	2	0	19	1	0	1	0	0	0	2	8	1	0	0	0	2	0	1	0	5	0	0	7	1	0	0	7	2	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	Class_7	"45623"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Class_2	"10729"
0	0	1	0	0	0	0	1	4	0	0	0	0	18	1	2	0	0	0	1	3	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Class_2	"8782"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Class_5	"29003"
0	0	11	2	0	0	0	0	0	0	9	0	1	0	0	4	0	1	0	0	1	1	0	0	0	0	6	2	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	6	0	0	0	0	0	1	0	12	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_6	"42153"
0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Class_3	"21959"
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	Class_2	"9520"
0	0	0	0	0	0	0	0	15	0	0	0	0	3	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	4	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	Class_2	"8399"
0	0	16	1	0	0	0	0	0	0	8	0	0	0	1	5	0	0	0	0	0	1	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	2	0	0	0	1	7	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_6	"36492"
0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	31	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	5	6	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	Class_8	"53022"
0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	3	0	2	1	0	1	1	0	1	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	2	5	1	0	0	1	0	0	0	2	0	1	0	1	1	0	0	2	0	11	0	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	Class_2	"17739"
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_8	"48814"
0	0	0	0	0	0	1	2	2	3	0	0	0	2	0	1	2	0	4	5	1	1	2	18	1	0	0	0	0	0	0	3	1	0	0	2	0	3	7	0	3	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	3	2	0	6	0	34	4	3	0	1	1	2	1	0	1	0	0	1	0	2	0	0	0	1	2	1	4	0	0	0	Class_8	"52155"
1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Class_2	"5923"
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	Class_3	"19921"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Class_7	"47715"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	Class_6	"39004"
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	1	0	9	1	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	Class_1	"864"
0	0	5	3	0	0	0	0	0	0	7	0	0	0	0	1	0	3	0	0	0	1	0	1	0	1	3	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	12	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Class_6	"34897"
0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	3	3	1	0	0	2	0	0	3	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	2	0	0	0	0	27	8	2	2	0	0	0	1	0	9	1	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	4	1	0	1	0	Class_9	"59238"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	7	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	Class_7	"48264"
0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	1	0	0	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	Class_4	"27979"
0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	3	8	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	5	0	6	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	10	0	1	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	2	Class_7	"48125"
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	Class_1	"1570"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	Class_6	"34823"
3	1	0	0	9	0	0	6	0	0	0	0	3	0	0	0	21	0	0	7	0	0	0	30	0	0	0	0	4	0	0	3	0	0	0	8	0	0	0	1	1	0	0	0	0	0	2	6	1	0	0	0	0	3	1	0	1	0	0	7	0	1	0	2	4	2	18	5	5	4	2	0	0	2	0	9	0	9	7	0	1	0	0	1	0	3	1	1	0	0	3	0	0	Class_1	"128"
0	0	2	4	0	0	0	1	0	0	12	0	1	0	0	2	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	7	0	3	0	8	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Class_6	"43147"
0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	0	0	0	1	3	2	1	0	0	1	0	0	Class_6	"34670"
1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	Class_2	"9655"
0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	Class_6	"43453"
0	3	0	0	0	0	0	1	2	0	2	0	2	1	0	0	4	1	51	1	0	0	0	20	0	0	0	0	0	2	1	4	0	0	1	0	1	3	0	0	1	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	1	12	0	3	0	0	0	1	0	0	5	0	53	0	0	0	1	3	2	7	0	0	0	0	0	0	0	0	1	1	0	1	0	48	0	0	0	Class_8	"54163"
0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	0	4	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	3	0	0	0	3	0	0	3	0	2	2	0	6	0	0	1	1	0	0	0	3	1	1	1	1	3	1	0	0	1	1	0	0	0	1	0	0	1	3	1	1	0	0	0	0	0	0	15	0	0	2	0	Class_9	"61189"
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	Class_9	"57447"
0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0	1	1	0	0	0	0	0	0	1	2	1	1	6	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	Class_9	"57419"
0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	0	3	0	1	1	0	0	1	8	0	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	2	5	1	0	1	0	0	1	0	5	1	0	0	0	9	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	Class_9	"59918"
0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	25	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_5	"29631"
0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	Class_3	"25947"
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	2	0	8	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Class_6	"38524"
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	Class_3	"23006"
0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_2	"5018"
0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Class_2	"6924"
1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	0	0	0	3	0	0	0	2	0	0	0	1	0	3	1	0	0	0	1	1	0	13	0	0	0	2	24	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	Class_9	"59543"
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Class_5	"31256"
1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Class_2	"10604"
0	1	3	1	0	0	0	4	7	0	0	0	2	3	2	7	1	3	0	2	0	1	1	7	2	0	0	0	0	0	0	4	4	0	0	0	1	1	0	2	0	1	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	19	0	7	7	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	Class_2	"14856"
2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Class_2	"15740"
0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	6	3	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	11	0	1	6	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	Class_2	"13591"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Class_3	"18292"
0	0	1	0	0	0	0	0	0	0	0	0	0	2	18	8	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	Class_2	"16411"
